序号,代码,名称,市场,标签,最新价,日均额(M),120日动量(%),目标股数,预估金额
1,515050,通信ETF华夏,沪,,1.159,367.0,71.4,2100,2434
2,159327,半导体设备ETF万家,深,创,2.774,102.4,66.0,900,2497
3,159381,创业板人工智能ETF华夏,深,创,2.625,408.4,58.5,900,2362
4,159388,创业板人工智能ETF国泰,深,创,1.138,127.5,58.5,2100,2390
5,159663,机床ETF华夏,深,,2.227,57.6,58.2,1100,2450
6,159242,创业板人工智能ETF大成,深,创,2.338,70.2,58.1,1000,2338
7,159382,创业板人工智能ETF南方,深,创,2.966,158.9,57.9,800,2373
8,159363,创业板人工智能ETF华宝,深,创,1.385,992.7,57.9,1800,2493
9,159667,工业母机ETF国泰,深,,2.241,210.5,57.5,1100,2465
10,159246,创业板人工智能ETF富国,深,创,1.305,148.2,57.4,1900,2480
11,159279,创业板人工智能ETF华安,深,创,1.574,56.6,57.1,1500,2361
12,512480,半导体ETF国联安,沪,,2.077,1579.5,49.3,1200,2492
13,159326,电网设备ETF华夏,深,创,2.065,1802.6,47.7,1200,2478
14,159325,半导体ETF南方,深,创,2.088,80.7,47.7,1100,2297
15,159259,成长ETF易方达,深,创,1.403,220.0,46.9,1700,2385
16,159320,电网设备ETF广发,深,创,2.236,110.3,46.4,1100,2460
17,512760,芯片ETF国泰,沪,,1.118,358.0,45.2,2200,2460
18,159732,消费电子ETF华夏,深,,1.517,220.8,44.3,1600,2427
19,159801,芯片ETF广发,深,,1.182,184.3,43.6,2100,2482
20,159781,科创创业ETF易方达,深,,1.248,314.9,43.1,2000,2496

合计实买,48619,余,1381,利用率,97.2%
