排名,代码,名称,目标股数,当前股数,待补股数,6月1日价,实时参考价,今日涨跌幅,待补金额,状态
1,515050,通信ETF华夏,2100,0,2100,1.159,1.213,4.93%,2547,本次补仓
2,159327,半导体设备ETF万家,900,0,900,2.774,2.805,2.63%,2524,本次补仓
3,159381,创业板人工智能ETF华夏,900,0,900,2.625,2.696,2.70%,2426,本次补仓
4,159388,创业板人工智能ETF国泰,2100,0,2100,1.138,1.166,2.55%,2449,本次补仓
6,159242,创业板人工智能ETF大成,1000,0,1000,2.338,2.404,3.04%,2404,本次补仓
7,159382,创业板人工智能ETF南方,800,0,800,2.966,3.047,2.97%,2438,本次补仓
8,159363,创业板人工智能ETF华宝,1800,0,1800,1.385,1.425,3.11%,2565,本次补仓
10,159246,创业板人工智能ETF富国,1900,0,1900,1.305,1.343,2.91%,2552,本次补仓
11,159279,创业板人工智能ETF华安,1500,0,1500,1.574,1.617,2.67%,2426,本次补仓
12,512480,半导体ETF国联安,1200,0,1200,2.077,2.085,1.91%,2502,本次补仓
14,159325,半导体ETF南方,1100,0,1100,2.088,2.100,1.89%,2310,本次补仓
17,512760,芯片ETF国泰,2200,0,2200,1.118,1.122,1.81%,2468,本次补仓
19,159801,芯片ETF广发,2100,0,2100,1.182,1.189,1.89%,2497,本次暂缓
20,159781,科创创业ETF易方达,2000,0,2000,1.248,1.278,3.23%,2556,本次暂缓
