方向,代码,名称,股数,参考价,预估金额
BUY,515050,通信ETF华夏,2100,1.159,2434
BUY,159327,半导体设备ETF万家,900,2.774,2497
BUY,159381,创业板人工智能ETF华夏,900,2.625,2362
BUY,159388,创业板人工智能ETF国泰,2100,1.138,2390
BUY,159663,机床ETF华夏,1100,2.227,2450
BUY,159242,创业板人工智能ETF大成,1000,2.338,2338
BUY,159382,创业板人工智能ETF南方,800,2.966,2373
BUY,159363,创业板人工智能ETF华宝,1800,1.385,2493
BUY,159667,工业母机ETF国泰,1100,2.241,2465
BUY,159246,创业板人工智能ETF富国,1900,1.305,2480
BUY,159279,创业板人工智能ETF华安,1500,1.574,2361
BUY,512480,半导体ETF国联安,1200,2.077,2492
BUY,159326,电网设备ETF华夏,1200,2.065,2478
BUY,159325,半导体ETF南方,1100,2.088,2297
BUY,159259,成长ETF易方达,1700,1.403,2385
BUY,159320,电网设备ETF广发,1100,2.236,2460
BUY,512760,芯片ETF国泰,2200,1.118,2460
BUY,159732,消费电子ETF华夏,1600,1.517,2427
BUY,159801,芯片ETF广发,2100,1.182,2482
BUY,159781,科创创业ETF易方达,2000,1.248,2496
