方向,代码,名称,股数,实时参考价,预估金额,排名,今日涨跌幅,备注
BUY,515050,通信ETF华夏,2100,1.213,2547,1,4.93%,补齐6月1日目标仓；不做卖出
BUY,159327,半导体设备ETF万家,900,2.805,2524,2,2.63%,补齐6月1日目标仓；不做卖出
BUY,159381,创业板人工智能ETF华夏,900,2.696,2426,3,2.70%,补齐6月1日目标仓；不做卖出
BUY,159388,创业板人工智能ETF国泰,2100,1.166,2449,4,2.55%,补齐6月1日目标仓；不做卖出
BUY,159242,创业板人工智能ETF大成,1000,2.404,2404,6,3.04%,补齐6月1日目标仓；不做卖出
BUY,159382,创业板人工智能ETF南方,800,3.047,2438,7,2.97%,补齐6月1日目标仓；不做卖出
BUY,159363,创业板人工智能ETF华宝,1800,1.425,2565,8,3.11%,补齐6月1日目标仓；不做卖出
BUY,159246,创业板人工智能ETF富国,1900,1.343,2552,10,2.91%,补齐6月1日目标仓；不做卖出
BUY,159279,创业板人工智能ETF华安,1500,1.617,2426,11,2.67%,补齐6月1日目标仓；不做卖出
BUY,512480,半导体ETF国联安,1200,2.085,2502,12,1.91%,补齐6月1日目标仓；不做卖出
BUY,159325,半导体ETF南方,1100,2.100,2310,14,1.89%,补齐6月1日目标仓；不做卖出
BUY,512760,芯片ETF国泰,2200,1.122,2468,17,1.81%,补齐6月1日目标仓；不做卖出

合计,,,17500,,29611,,,现金余量约 389
