code,name,today_amount_yi
159003,招商快线ETF,0.5204
159005,快钱ETF汇添富,0.1456
159007,养殖ETF华泰柏瑞,0.1775
159008,证券ETF景顺,0.1091
159009,创业板新能源ETF易方达,0.0649
159010,港股通科技ETF博时,0.1789
159012,科创创业50ETF鹏华,0.2716
159013,工业互联网ETF大成,0.1124
159015,恒生港股通科技ETF国联,0.2369
159016,证券ETF广发,0.1905
159017,石油ETF工银,0.0676
159018,石油ETF广发,0.0339
159019,石油ETF华宝,0.1511
159020,养殖ETF易方达,0.0465
159021,大盘价值ETF华夏,0.0809
159022,科创创业人工智能ETF富国,0.3158
159026,石油ETF南方,0.0754
159027,畜牧养殖ETF大成,0.0848
159028,港股汽车ETF天弘,0.0801
159029,有色ETF广发,0.1333
159030,粮食ETF华夏,0.0530
159032,工业有色ETF易方达,0.1909
159035,软件ETF天弘,0.1382
159038,粮食ETF易方达,0.1283
159100,巴西ETF华夏,0.3543
159101,港股通科技ETF华夏,3.4775
159102,港股通生物科技ETF华安,0.4881
159103,金融科技ETF汇添富,0.1068
159105,恒生生物科技ETF易方达,1.7657
159106,民企300ETF前海开源,0.0148
159107,创业板软件ETF富国,0.5766
159108,工业软件ETF博时,0.3487
159109,恒生50ETF景顺,0.1137
159117,港股通红利低波ETF鹏华,0.0163
159118,港股通红利低波ETF华夏,0.0765
159119,800现金流ETF招商,0.0988
159120,港股通科技ETF国联安,0.3504
159121,港股通汽车ETF易方达,0.1648
159122,创业板新能源ETF富国,0.0762
159123,光伏ETF嘉实,0.1749
159125,港股通科技ETF招商,1.0677
159126,港股通50ETF南方,0.1207
159127,港股通红利ETF南方,0.1205
159128,港股科技ETF天弘,1.7619
159129,化工ETF嘉实,0.3343
159130,恒生生物科技ETF鹏华,0.1470
159131,港股通信息技术ETF华宝,23.2493
159132,恒生生物科技ETF富国,0.1274
159133,化工ETF天弘,0.4439
159135,港股通科技ETF前海开源,0.2194
159136,A50ETF广发,0.0139
159137,港股通医疗ETF华宝,0.3960
159138,工程机械ETF易方达,0.1509
159139,科创创业人工智能ETF华泰柏瑞,0.5367
159140,科创创业人工智能ETF易方达,0.8039
159141,科创创业人工智能ETF永赢,1.2814
159142,科创创业人工智能ETF景顺,0.8603
159143,港股通央企红利ETF平安,0.0146
159145,工业软件ETF广发,0.0644
159146,电力ETF华宝,0.7738
159147,电池ETF南方,0.3851
159148,石油ETF富国,0.2649
159149,创业板新能源ETF工银,0.2293
159150,深证50ETF易方达,0.1663
159151,食品ETF华夏,0.1782
159152,港股通科技ETF平安,0.9887
159153,消费电子ETF鹏华,0.3387
159155,电池ETF大成,0.1534
159156,电池ETF万家,0.0766
159157,有色金属ETF天弘,1.8609
159158,电力ETF景顺,1.1132
159159,公用事业ETF国投瑞银,0.2757
159160,电池ETF东财,0.1952
159162,工业有色ETF鹏华,0.1512
159163,有色ETF泰康,0.0802
159165,养殖ETF永赢,0.0692
159166,现金流ETF长城,0.0180
159167,港股通医疗ETF工银,0.2104
159168,有色ETF富国,0.2803
159169,恒生生物科技ETF广发,0.1708
159170,港股通互联网ETF永赢,0.3695
159171,工业有色ETF博时,0.1117
159172,养殖ETF汇添富,0.1370
159173,农牧ETF南方,0.0831
159175,电池ETF易方达,0.4205
159176,家电ETF华宝,0.1531
159177,工程机械ETF鹏华,0.1141
159178,消费电子ETF汇添富,0.1925
