方向,代码,名称,股数,参考价,预估金额
BUY,515050,通信ETF华夏,2000,1.200,2400
BUY,159327,半导体设备ETF万家,800,2.880,2304
BUY,159663,机床ETF华夏,1000,2.293,2293
BUY,159667,工业母机ETF国泰,1000,2.307,2307
BUY,159381,创业板人工智能ETF华夏,900,2.667,2400
BUY,159363,创业板人工智能ETF华宝,1700,1.410,2397
BUY,159388,创业板人工智能ETF国泰,2100,1.154,2423
BUY,159242,创业板人工智能ETF大成,1000,2.376,2376
BUY,159246,创业板人工智能ETF富国,1800,1.326,2387
BUY,159382,创业板人工智能ETF南方,800,3.013,2410
BUY,159279,创业板人工智能ETF华安,1500,1.601,2402
BUY,512480,半导体ETF国联安,1100,2.160,2376
BUY,159325,半导体ETF南方,1100,2.175,2392
BUY,159259,成长ETF易方达,1700,1.454,2472
BUY,512760,芯片ETF国泰,2100,1.160,2436
BUY,159801,芯片ETF广发,2000,1.234,2468
BUY,159781,科创创业ETF易方达,1900,1.300,2470
BUY,159326,电网设备ETF华夏,1200,2.060,2472
BUY,159732,消费电子ETF华夏,1600,1.550,2480
BUY,159783,科创创业50ETF华夏,1900,1.296,2462
